work_unit_id,experiment_kind,status,error,replication,batching_mode,batching_window,sweep_index
ceiling_release:0.75:7,batching_comparison,complete,,7,ceiling_release,0.75,158
ceiling_release:0.75:8,batching_comparison,complete,,8,ceiling_release,0.75,178
ceiling_release:0.75:9,batching_comparison,complete,,9,ceiling_release,0.75,198
ceiling_release:1.0:0,batching_comparison,complete,,0,ceiling_release,1.0,19
ceiling_release:1.0:1,batching_comparison,complete,,1,ceiling_release,1.0,39
ceiling_release:1.0:2,batching_comparison,complete,,2,ceiling_release,1.0,59
ceiling_release:1.0:3,batching_comparison,complete,,3,ceiling_release,1.0,79
ceiling_release:1.0:4,batching_comparison,complete,,4,ceiling_release,1.0,99
ceiling_release:1.0:5,batching_comparison,complete,,5,ceiling_release,1.0,119
ceiling_release:1.0:6,batching_comparison,complete,,6,ceiling_release,1.0,139
ceiling_release:1.0:7,batching_comparison,complete,,7,ceiling_release,1.0,159
ceiling_release:1.0:8,batching_comparison,complete,,8,ceiling_release,1.0,179
ceiling_release:1.0:9,batching_comparison,complete,,9,ceiling_release,1.0,199
delay_quantization:0.25:0,batching_comparison,complete,,0,delay_quantization,0.25,4
delay_quantization:0.25:1,batching_comparison,complete,,1,delay_quantization,0.25,24
delay_quantization:0.25:2,batching_comparison,complete,,2,delay_quantization,0.25,44
delay_quantization:0.25:3,batching_comparison,complete,,3,delay_quantization,0.25,64
delay_quantization:0.25:4,batching_comparison,complete,,4,delay_quantization,0.25,84
delay_quantization:0.25:5,batching_comparison,complete,,5,delay_quantization,0.25,104
delay_quantization:0.25:6,batching_comparison,complete,,6,delay_quantization,0.25,124
delay_quantization:0.25:7,batching_comparison,complete,,7,delay_quantization,0.25,144
delay_quantization:0.25:8,batching_comparison,complete,,8,delay_quantization,0.25,164
delay_quantization:0.25:9,batching_comparison,complete,,9,delay_quantization,0.25,184
delay_quantization:0.5:0,batching_comparison,complete,,0,delay_quantization,0.5,5
delay_quantization:0.5:1,batching_comparison,complete,,1,delay_quantization,0.5,25
delay_quantization:0.5:2,batching_comparison,complete,,2,delay_quantization,0.5,45
delay_quantization:0.5:3,batching_comparison,complete,,3,delay_quantization,0.5,65
delay_quantization:0.5:4,batching_comparison,complete,,4,delay_quantization,0.5,85
delay_quantization:0.5:5,batching_comparison,complete,,5,delay_quantization,0.5,105
delay_quantization:0.5:6,batching_comparison,complete,,6,delay_quantization,0.5,125
delay_quantization:0.5:7,batching_comparison,complete,,7,delay_quantization,0.5,145
delay_quantization:0.5:8,batching_comparison,complete,,8,delay_quantization,0.5,165
delay_quantization:0.5:9,batching_comparison,complete,,9,delay_quantization,0.5,185
delay_quantization:0.75:0,batching_comparison,complete,,0,delay_quantization,0.75,6
delay_quantization:0.75:1,batching_comparison,complete,,1,delay_quantization,0.75,26
delay_quantization:0.75:2,batching_comparison,complete,,2,delay_quantization,0.75,46
delay_quantization:0.75:3,batching_comparison,complete,,3,delay_quantization,0.75,66
delay_quantization:0.75:4,batching_comparison,complete,,4,delay_quantization,0.75,86
delay_quantization:0.75:5,batching_comparison,complete,,5,delay_quantization,0.75,106
delay_quantization:0.75:6,batching_comparison,complete,,6,delay_quantization,0.75,126
delay_quantization:0.75:7,batching_comparison,complete,,7,delay_quantization,0.75,146
delay_quantization:0.75:8,batching_comparison,complete,,8,delay_quantization,0.75,166
delay_quantization:0.75:9,batching_comparison,complete,,9,delay_quantization,0.75,186
delay_quantization:1.0:0,batching_comparison,complete,,0,delay_quantization,1.0,7
delay_quantization:1.0:1,batching_comparison,complete,,1,delay_quantization,1.0,27
delay_quantization:1.0:2,batching_comparison,complete,,2,delay_quantization,1.0,47
delay_quantization:1.0:3,batching_comparison,complete,,3,delay_quantization,1.0,67
