false_positive_rate,true_positive_rate,hypothesis_pair
0.0004,0.1406,active_vs_baseline
0.0004,0.1408,active_vs_baseline
0.0004,0.1412,active_vs_baseline
0.0004,0.1414,active_vs_baseline
0.0004,0.1416,active_vs_baseline
0.0004,0.1418,active_vs_baseline
0.0004,0.1422,active_vs_baseline
0.0004,0.1424,active_vs_baseline
0.0004,0.1426,active_vs_baseline
0.0004,0.1428,active_vs_baseline
0.0004,0.143,active_vs_baseline
0.0004,0.1432,active_vs_baseline
0.0004,0.1434,active_vs_baseline
0.0004,0.1436,active_vs_baseline
0.0004,0.1438,active_vs_baseline
0.0004,0.144,active_vs_baseline
0.0004,0.1442,active_vs_baseline
0.0004,0.1446,active_vs_baseline
0.0004,0.1448,active_vs_baseline
0.0004,0.145,active_vs_baseline
0.0004,0.1452,active_vs_baseline
0.0004,0.1454,active_vs_baseline
0.0004,0.1456,active_vs_baseline
0.0004,0.1458,active_vs_baseline
0.0004,0.146,active_vs_baseline
0.0004,0.1462,active_vs_baseline
0.0004,0.1464,active_vs_baseline
0.0004,0.1466,active_vs_baseline
0.0004,0.1468,active_vs_baseline
0.0004,0.147,active_vs_baseline
0.0004,0.1472,active_vs_baseline
0.0004,0.1474,active_vs_baseline
0.0004,0.1476,active_vs_baseline
0.0004,0.1478,active_vs_baseline
0.0004,0.148,active_vs_baseline
0.0004,0.1482,active_vs_baseline
0.0004,0.1484,active_vs_baseline
0.0004,0.1486,active_vs_baseline
0.0004,0.1488,active_vs_baseline
0.0004,0.149,active_vs_baseline
0.0004,0.1492,active_vs_baseline
0.0004,0.1494,active_vs_baseline
0.0004,0.1496,active_vs_baseline
0.0004,0.1498,active_vs_baseline
0.0004,0.1502,active_vs_baseline
0.0004,0.1504,active_vs_baseline
0.0004,0.1506,active_vs_baseline
0.0004,0.1508,active_vs_baseline
0.0004,0.151,active_vs_baseline
0.0004,0.1512,active_vs_baseline
0.0004,0.1514,active_vs_baseline
0.0004,0.1516,active_vs_baseline
0.0004,0.1518,active_vs_baseline
0.0004,0.152,active_vs_baseline
0.0004,0.1522,active_vs_baseline
0.0004,0.1526,active_vs_baseline
0.0004,0.1528,active_vs_baseline
0.0004,0.153,active_vs_baseline
0.0004,0.1532,active_vs_baseline
0.0004,0.1534,active_vs_baseline
0.0004,0.1536,active_vs_baseline
0.0004,0.1538,active_vs_baseline
0.0004,0.154,active_vs_baseline
0.0004,0.1542,active_vs_baseline
0.0004,0.1544,active_vs_baseline
0.0004,0.1546,active_vs_baseline
0.0004,0.1548,active_vs_baseline
0.0004,0.1554,active_vs_baseline
0.0004,0.1556,active_vs_baseline
0.0004,0.1558,active_vs_baseline
0.0004,0.156,active_vs_baseline
0.0004,0.1562,active_vs_baseline
0.0004,0.1564,active_vs_baseline
0.0004,0.1566,active_vs_baseline
0.0004,0.1568,active_vs_baseline
0.0004,0.157,active_vs_baseline
0.0004,0.1572,active_vs_baseline
0.0004,0.1574,active_vs_baseline
0.0004,0.1576,active_vs_baseline
0.0004,0.1578,active_vs_baseline
0.0004,0.158,active_vs_baseline
0.0004,0.1582,active_vs_baseline
0.0004,0.1584,active_vs_baseline
0.0004,0.1586,active_vs_baseline
0.0004,0.159,active_vs_baseline
0.0004,0.1592,active_vs_baseline
0.0004,0.1594,active_vs_baseline
0.0004,0.1596,active_vs_baseline
0.0004,0.1598,active_vs_baseline
