false_positive_rate,true_positive_rate,hypothesis_pair
0.614,0.998,active_vs_baseline
0.616,0.998,active_vs_baseline
0.618,0.998,active_vs_baseline
0.62,0.998,active_vs_baseline
0.622,0.998,active_vs_baseline
0.624,0.998,active_vs_baseline
0.626,0.998,active_vs_baseline
0.628,0.998,active_vs_baseline
0.63,0.998,active_vs_baseline
0.632,0.998,active_vs_baseline
0.634,0.998,active_vs_baseline
0.636,0.998,active_vs_baseline
0.638,0.998,active_vs_baseline
0.64,0.998,active_vs_baseline
0.642,0.998,active_vs_baseline
0.644,0.998,active_vs_baseline
0.646,0.998,active_vs_baseline
0.648,0.998,active_vs_baseline
0.65,0.998,active_vs_baseline
0.652,0.998,active_vs_baseline
